Id,State,Abbv,Male_Obese,Female_Obese,Male_Overweight,Female_Overweight,Overall Obesity Rate,Overall Overweight Rate,Overall M and F Who Are Obese and Overweight,Age18to24Obese,Age25to34Obese,Age35to44Obese,Age45to54Obese,Age55to64Obese,Age65andUpObese,Age 18 to 24 Overweight,Age 25 to 34 Overweight,Age 35 to 44 Overweight,Age 45 to 54 Overweight,Age 55 to 64 Overweight,Age 65 and Up Overweight
1,Alabama,AL,35.1,37.4,37.7,30.2,36.3,33.9,70.2,20.66,36.26,42.16,47.13,41.23,29.04,30.29,29.52,34.44,32.8,32.98,40.31
2,Alaska,AK,32.6,36.1,37.5,26.5,34.2,32.6,66.7,22.96,31.39,41.49,37.67,36.15,34.82,29.83,31.4,27.5,32.69,37.42,36.43
3,Arizona,AZ,30.1,28.8,41.1,29.2,29.5,35.3,64.8,18.15,30.49,34.44,34.43,33.54,25.47,24.1,31.89,36.6,37.77,38.39,39.52
4,Arkansas,AR,32.8,37.4,41.7,28.8,35,35.4,70.5,13.32,38.83,41.82,42.61,40.21,30.55,36.94,27.67,36.9,36.76,33.62,39.3
5,California,CA,24.5,25.8,41.9,29.6,25.1,35.8,60.9,12.69,22.6,25.41,31.57,31.76,24.24,23.54,36.72,40.27,38.02,37.49,35.84
6,Colorado,CO,21.5,23.8,43.9,27.7,22.6,36.1,58.7,13.09,19.1,25.12,27.73,26.24,22.43,23.58,33.26,38.05,37.48,40.64,40.05
7,Connecticut,CT,29.3,24.4,41.7,31,26.9,36.4,63.2,16.16,27.18,26.99,31.53,30,26.44,27.83,32.65,34.9,37.53,40.9,40.28
8,Delaware,DE,18.4,27.2,40.9,32.5,31.8,36.7,68.5,15.53,27.43,35.73,34.58,37.35,33.87,28.75,39.77,32.95,40.8,39.44,35.5
9,D.C.,DC,32.3,31.3,39.7,23.1,22.9,31.2,54,13.39,19.07,23.04,28.14,32.14,24.18,22.91,29.75,32.61,34.57,34.03,32.85
10,Florida,FL,29.6,27.3,40.4,30.8,28.4,35.6,64.1,17.08,27.61,30.43,33.37,34.6,25.35,27.52,33.44,36.21,36.99,34.39,39.72
11,Georgia,GA,29.7,33.6,39.4,27.9,31.6,33.7,65.3,16.89,29.06,37.02,36.24,38.51,29.27,24.65,32.18,32.82,37.23,33.9,38.43
12,Hawaii,HI,25.1,22.4,41.6,28,23.8,35,58.8,15.85,26.75,28.49,29.01,22.24,19.75,25.48,36.49,33.47,37.72,40.47,34.07
13,Idaho,ID,30.5,28.2,42.3,30.4,29.3,36.6,65.9,16.16,28.96,31.89,36.53,35.23,26.11,24.49,36.33,37.16,38.59,38.91,40.59
14,Illinois,IL,31.7,30.5,38.4,31,31.1,34.7,65.8,13.59,29.4,31.57,39.73,37.84,30.21,22.06,34.74,34.74,34.55,38.19,39.8
15,Indiana,IN,33.5,33.7,39.8,29,33.6,34.4,68,20.47,31.39,36.24,37.99,39.29,33.28,23.79,31.51,35.41,36.7,36.82,38.72
16,Iowa,IA,36.4,36.4,38.2,29,36.4,33.7,70.1,22.6,37.73,39.14,42.42,43.18,32.54,25.72,32.26,33.2,34.48,34.37,39.05
17,Kansas,KS,32.3,32.4,40.3,29.1,32.4,34.9,67.2,21.86,31.38,35.61,39.19,36.39,29.28,27.07,32.68,36.99,34.1,36.67,39.18
18,Kentucky,KY,36,32.5,36.1,30.8,34.3,33.5,67.8,20.34,35.91,38.67,40.94,35.55,31.46,25.43,30.68,34.26,34.16,37.16,36.34
19,Louisiana,LA,36,36.5,37.1,30.6,36.2,33.8,70,21.04,34.9,38.31,46.8,39.32,34.15,29.05,31.78,36.82,30.21,36.18,36.8
20,Maine,ME,31.4,26.9,39.3,32.6,29.1,35.9,65.1,12.85,26.94,32.37,34.62,34.01,27.82,28.26,31.56,37.59,36.28,37,39.55
21,Maryland,MD,30.2,32.2,40.7,29.2,31.3,34.9,66.2,18.39,26.33,36.28,36.74,35.33,31.17,28.15,34.35,34.5,35.76,37.19,37.06
22,Massachusetts,MA,27.6,24.2,42.2,29.1,25.9,35.6,61.4,9.54,26.11,28.49,29.86,30.33,26.75,22.6,28.81,35.45,40.36,37.42,43.38
23,Michigan,MI,31.4,33.2,39.8,29.9,32.3,34.9,67.2,18.12,28.91,35.52,37.84,37.22,32.41,25.14,33.36,34.67,35.91,36.93,39.42
24,Minnesota,MN,30.4,26.4,42.1,30.6,28.4,36.5,64.9,15.21,24.11,33.48,32.22,33.03,28.78,27.52,34.16,35.32,39.41,38.84,40.23
25,Mississippi,MS,35.7,38.8,38.7,26.9,37.3,32.6,69.9,24.17,39.89,41.14,41.44,42.9,33.08,27.9,33.63,30.11,32.02,32.34,37.62
26,Missouri,MO,31.5,33.5,40.7,29.9,32.5,35.4,67.8,19.39,30.71,34.92,40.42,37.22,29.77,24.39,29.63,40.63,35.64,38.09,39.7
27,Montana,MT,27.2,23.3,43.3,30.1,25.3,37,62.2,14.15,22.3,29.12,31.37,30.06,23.08,23.3,39.03,33.89,37.77,40.24,41.51
28,Nebraska,NE,33.2,32.3,42,30.2,32.8,36.2,69,18.01,30.57,35.97,39.56,38.67,31.75,28.55,36.93,37.08,37.74,36.44,38.74
29,Nevada,NV,26.3,27.1,46.3,31,26.7,39,65.7,17.41,28.92,25.27,32.57,27.35,25.01,34.32,37.06,40,40.69,39.86,40.19
30,New Hampshire,NH,30.6,25.4,42.6,30.7,28.1,36.8,64.9,17.07,29.64,28.92,32.36,28.39,29.02,33.36,34.65,35.33,36.64,39.05,39.42
31,New Jersey,NJ,29.3,25.2,40.5,30.1,27.3,35.3,62.6,15.33,25.73,28.57,32.94,29.83,26.56,22.24,32.26,35.05,35.53,38.01,42.06
32,New Mexico,NM,27.4,29.4,41.6,31.8,28.4,36.8,65.2,17.06,30.39,34.32,34.71,32.99,21.62,25.38,32.72,37.18,42.06,40.45,40.08
33,New York,NY,26.1,25.3,42.3,29,25.7,35.6,61.3,12.3,21.96,28.42,28.88,31.78,26.93,26.98,31.49,36.03,39.27,38.08,38.3
34,North Carolina,NC,30.5,33.8,40.3,29.3,32.1,34.8,66.9,15.58,32.59,34.24,40.2,36.24,30.34,25.23,35.8,34.53,34.03,39.49,36.8
35,North Dakota,ND,35,31.2,41.1,30.8,33.2,36.2,69.4,21.5,31.52,38.48,37.95,38.64,32.07,28.42,32.82,36.1,40.17,38.42,41.14
36,Ohio,OH,33.5,34.1,38.4,29.9,33.8,34.2,68,18.91,32.47,38.79,41.69,37.47,30.9,27.28,28.4,33.72,34.56,36.29,40.68
37,Oklahoma,OK,36.9,36.1,38.9,29.1,36.5,34.1,70.6,28.22,31.65,43.22,43.96,40.01,31.9,33.31,31.91,30.21,33.85,37.6,36.99
38,Oregon,OR,28.7,30,41.1,29,29.4,35.1,64.5,17.92,25.48,30.54,33.96,34.34,30.31,26.54,34.96,36.91,38.17,35.16,36.08
39,Pennsylvania,PA,32.7,30.5,40.8,30.3,31.6,35.5,67.1,15.94,29.76,33.04,34.57,38.65,32.44,26.02,30.67,39.73,39.24,36.55,37.63
40,Rhode Island,RI,31,29,39.7,30.2,30,34.9,64.9,15.81,30.87,32.34,35.75,34.28,28.25,20.52,33.34,39.71,35.86,38.42,37.69
41,South Carolina,SC,33,35.1,39.4,28.7,34.1,34,68.1,22.29,33.73,39.72,42.26,37.43,28.67,26.71,31.31,33.38,34.16,36.6,38.26
42,South Dakota,SD,34.1,29.5,40,31.4,31.9,35.9,67.7,19.27,32.79,29.57,40.02,37.16,30.43,27.7,31.44,42.46,36.37,36.02,38.74
43,Tennessee,TN,33.3,32.4,39.8,31,32.8,35.4,68.3,15.64,31.09,38.88,38.54,38.43,30.56,31.77,34.04,36.58,36.2,35.62,36.98
44,Texas,TX,33.9,32.1,41.2,31.4,33,36.4,69.4,16.36,30.64,39.28,39.42,38.91,30.6,30.42,35.85,36.42,39.03,37.24,38.46
45,Utah,UT,26.1,24.3,41.5,28.6,25.3,35.3,60.6,13.26,21.6,28.42,30.03,33.71,26.83,22.75,35.73,36.48,38.24,39.15,40.61
46,Vermont,VT,28,27.2,40.4,29.6,27.6,35.1,62.6,14.27,27.72,30.32,33.89,29.63,27.42,21.78,30.29,36.44,35.8,40.23,39.95
47,Virginia,VA,28.5,31.6,42.8,29.7,30.1,36.3,66.3,17.68,28.8,31.84,35.76,35.35,28.2,30.41,31.91,36.21,38.96,38.31,39.81
48,Washington,WA,28.2,27.1,40.8,27.9,27.7,34.5,62.2,17.3,25.08,31.39,30.13,32.43,26.89,23.78,33.69,34.56,36.66,36.3,38.17
49,West Virginia,WV,39.4,36.7,37.9,29.2,38.1,33.6,71.7,24.53,35.83,41.93,46.4,43.82,33.53,28.38,29.77,31.88,31.29,34.58,40.14
50,Wisconsin,WI,32.4,31.6,41.9,28.3,32,35.3,67.3,22.54,30.37,32.59,36.67,39.34,29.07,26.82,30.02,36.88,35.99,35.41,42.14
51,Wyoming,WY,29.5,28.1,41.1,30,28.8,35.9,64.7,12.97,24.19,33.3,37.69,33.4,28.63,27.55,38.26,32.58,34.94,38.88,39.55
